id,name,url,created_at,updated_at
1,TutsGalaxy,https://tutsgalaxy.com/feed/,2019-02-04 16:32:37.819359,2019-02-04 16:32:37.819359
2,Free Course,https://freecoursesite.com,2019-02-04 19:55:49.081950,2019-02-04 19:55:49.081950
